stop,weight,mode,cap,total_R,PF_R,DD_R,risk_alloc_sum,entries,rejected,partial_n,max_committed
h1stop,Wprop,partial,3,227.6700512326562,1.3681128996239758,32.89866597057677,1617.0,737,422,4,3.0
h1stop,Wprop,partial,4,281.489402960485,1.3939208518034676,41.16203776199137,1910.0,1026,133,113,4.0
h1stop,Wprop,partial,6,358.9568604569016,1.4476161948659274,46.02332831985163,2196.0,1079,80,7,6.0
h1stop,Wprop,partial,8,389.7239880183679,1.4720942818638705,48.85161204253052,2291.0,1153,6,14,8.0
h1stop,Wprop,partial,10,397.00646049682615,1.4784946803679242,50.320668406978484,2311.0,1159,0,1,10.0
h1stop,Wprop,partial,12,397.4449103448504,1.4790231249671009,50.320668406978484,2313.0,1159,0,0,12.0
h1stop,Wprop,skip,3,232.9519379651589,1.3798973955314155,30.898665970576772,1609.0,733,426,0,3.0
h1stop,Wprop,skip,4,254.88356596936043,1.3646024654210003,40.79043008906308,1850.0,966,193,0,4.0
h1stop,Wprop,skip,6,357.5781652724585,1.4470161723662844,46.02332831985163,2184.0,1074,85,0,6.0
h1stop,Wprop,skip,8,376.7018977920904,1.458331661952176,47.29012519485164,2267.0,1143,16,0,8.0
h1stop,Wprop,skip,10,396.787235572814,1.478230458068336,50.320668406978484,2310.0,1158,1,0,10.0
h1stop,Wprop,skip,12,397.4449103448504,1.4790231249671009,50.320668406978484,2313.0,1159,0,0,12.0
PREV_H4_STD_HA_EXTREME,equal,partial,1,79.6885288778677,1.289059461527271,14.143691752090938,683.0,683,475,0,1.0
PREV_H4_STD_HA_EXTREME,equal,partial,2,136.8554783640343,1.3384697857256704,24.424761151237696,1026.0,1026,132,0,2.0
PREV_H4_STD_HA_EXTREME,equal,partial,3,165.98824829546572,1.3741448089449162,28.667601691515827,1140.0,1140,18,0,3.0
PREV_H4_STD_HA_EXTREME,equal,partial,4,171.79665698665144,1.3846640034210858,28.667601691515827,1157.0,1157,1,0,4.0
PREV_H4_STD_HA_EXTREME,equal,partial,5,170.79665698665144,1.3815705761208052,28.667601691515827,1158.0,1158,0,0,5.0
PREV_H4_STD_HA_EXTREME,equal,skip,1,79.6885288778677,1.289059461527271,14.143691752090938,683.0,683,475,0,1.0
PREV_H4_STD_HA_EXTREME,equal,skip,2,136.8554783640343,1.3384697857256704,24.424761151237696,1026.0,1026,132,0,2.0
PREV_H4_STD_HA_EXTREME,equal,skip,3,165.98824829546572,1.3741448089449162,28.667601691515827,1140.0,1140,18,0,3.0
PREV_H4_STD_HA_EXTREME,equal,skip,4,171.79665698665144,1.3846640034210858,28.667601691515827,1157.0,1157,1,0,4.0
PREV_H4_STD_HA_EXTREME,equal,skip,5,170.79665698665144,1.3815705761208052,28.667601691515827,1158.0,1158,0,0,5.0
PREV_H4_STD_HA_EXTREME,sqrtW,partial,2,146.81365308267291,1.323721139057851,27.934788834940335,1138.7358243656072,1026,132,288,2.0
PREV_H4_STD_HA_EXTREME,sqrtW,partial,3,202.5474943920819,1.37130097334015,36.277788711346986,1395.2421753117167,1077,81,163,3.0
PREV_H4_STD_HA_EXTREME,sqrtW,partial,4,237.94709971959037,1.4065856728472148,39.54961998294446,1519.657491601635,1141,17,70,4.0
PREV_H4_STD_HA_EXTREME,sqrtW,partial,5,253.34241292114865,1.4255611729575555,40.212372242033936,1565.274115090403,1153,5,24,5.0
PREV_H4_STD_HA_EXTREME,sqrtW,partial,6,255.90233449650452,1.427955758667303,40.212372242033936,1577.4843506234333,1158,0,6,6.0
PREV_H4_STD_HA_EXTREME,sqrtW,partial,8,255.378462110621,1.4265950405746797,40.212372242033936,1579.6612651596731,1158,0,0,6.928203230275509
PREV_H4_STD_HA_EXTREME,sqrtW,skip,2,132.5150217833329,1.3128585209309769,25.130329773632816,1058.638253715168,738,420,0,2.0
PREV_H4_STD_HA_EXTREME,sqrtW,skip,3,169.5424880922141,1.3294906895159135,34.989267003763246,1291.5664569454439,968,190,0,3.0
PREV_H4_STD_HA_EXTREME,sqrtW,skip,4,225.80143574583252,1.3922220348091028,38.78433959256175,1480.0202490082957,1073,85,0,3.732050807568877
PREV_H4_STD_HA_EXTREME,sqrtW,skip,5,243.28819721550863,1.4107568586801857,40.21237224203395,1543.412553853709,1132,26,0,4.732050807568877
PREV_H4_STD_HA_EXTREME,sqrtW,skip,6,257.4715518374123,1.431810415157234,40.212372242033936,1572.1971635445354,1152,6,0,5.464101615137754
PREV_H4_STD_HA_EXTREME,sqrtW,skip,8,255.378462110621,1.4265950405746797,40.212372242033936,1579.6612651596731,1158,0,0,6.928203230275509
PREV_H4_STD_HA_EXTREME,Wprop,partial,3,223.66759034425536,1.3471676676200346,43.78109601300294,1624.0,744,414,4,3.0
PREV_H4_STD_HA_EXTREME,Wprop,partial,4,284.52207305045056,1.3800860503149517,52.68885176112167,1912.0,1028,130,114,4.0
PREV_H4_STD_HA_EXTREME,Wprop,partial,6,368.30631692994496,1.4410414364326232,58.78046874778411,2196.0,1078,80,6,6.0
PREV_H4_STD_HA_EXTREME,Wprop,partial,8,400.021691756085,1.4672722744032263,60.208501397256356,2289.0,1153,5,13,8.0
PREV_H4_STD_HA_EXTREME,Wprop,partial,10,401.5435325634064,1.4667843354394627,60.208501397256356,2308.0,1158,0,1,10.0
PREV_H4_STD_HA_EXTREME,Wprop,partial,12,401.87844598122587,1.4671736639293742,60.208501397256356,2310.0,1158,0,0,12.0
PREV_H4_STD_HA_EXTREME,Wprop,skip,3,229.15157636502042,1.358733229821917,41.78109601300294,1616.0,740,418,0,3.0
PREV_H4_STD_HA_EXTREME,Wprop,skip,4,263.9509448586781,1.3605861932839995,52.90798243556446,1852.0,968,190,0,4.0
PREV_H4_STD_HA_EXTREME,Wprop,skip,6,366.2384651096786,1.4391723856940732,58.78046874778411,2186.0,1074,84,0,6.0
PREV_H4_STD_HA_EXTREME,Wprop,skip,8,392.02153476195406,1.4595477113979891,60.208501397256356,2267.0,1143,15,0,8.0
PREV_H4_STD_HA_EXTREME,Wprop,skip,10,401.37607585449666,1.4665896711945072,60.208501397256356,2307.0,1157,1,0,10.0
PREV_H4_STD_HA_EXTREME,Wprop,skip,12,401.87844598122587,1.4671736639293742,60.208501397256356,2310.0,1158,0,0,12.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,partial,1,167.18416814919516,1.4089195765760192,38.333417172167344,737.0,737,418,0,1.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,partial,2,188.1845246754795,1.3352910645151925,53.940550807620255,1056.0,1056,99,0,2.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,partial,3,215.7312908524202,1.3650391949279836,51.87146099305883,1142.0,1142,13,0,3.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,partial,4,216.70148620395196,1.3650778592736277,52.23637861515056,1155.0,1155,0,0,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,partial,5,216.70148620395196,1.3650778592736277,52.23637861515056,1155.0,1155,0,0,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,skip,1,167.18416814919516,1.4089195765760192,38.333417172167344,737.0,737,418,0,1.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,skip,2,188.1845246754795,1.3352910645151925,53.940550807620255,1056.0,1056,99,0,2.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,skip,3,215.7312908524202,1.3650391949279836,51.87146099305883,1142.0,1142,13,0,3.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,skip,4,216.70148620395196,1.3650778592736277,52.23637861515056,1155.0,1155,0,0,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,equal,skip,5,216.70148620395196,1.3650778592736277,52.23637861515056,1155.0,1155,0,0,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,partial,2,305.0513290429578,1.4761809115335132,58.53311736092854,1192.89350101538,1056,99,270,2.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,partial,3,334.3757237944488,1.447168464853541,66.5400020698037,1427.7203600371784,1093,62,135,3.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,partial,4,360.52355339888265,1.4604993469557561,65.33071368184832,1527.6190158287013,1142,13,54,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,partial,5,370.91330063720136,1.469193975224254,65.24261348380367,1563.934369128247,1151,4,21,5.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,partial,6,371.4269573226642,1.4685511554004393,65.24261348380367,1574.2164014310022,1155,0,5,6.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,partial,8,371.3671865519184,1.4683486087014823,65.24261348380367,1575.9292143521043,1155,0,0,6.928203230275509
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,skip,2,299.390918257104,1.4953611599646666,55.08402024740647,1116.8869650211325,786,369,0,2.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,skip,3,321.1990196661111,1.453017608304777,63.5546278213009,1332.547219058977,998,157,0,3.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,skip,4,350.0684291072708,1.4506876625070146,67.75691990799939,1497.0202490082957,1090,65,0,3.732050807568877
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,skip,5,365.82853682543885,1.4653716181696625,65.24261348380367,1543.68050304614,1133,22,0,4.464101615137754
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,skip,6,372.4602762787096,1.470547948462006,65.24261348380367,1569.4651127369666,1150,5,0,5.464101615137754
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,sqrtW,skip,8,371.3671865519184,1.4683486087014823,65.24261348380367,1575.9292143521043,1155,0,0,6.928203230275509
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,partial,3,536.6666539137739,1.592851926478302,79.18218831274129,1701.0,792,363,5,3.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,partial,4,566.1113459098481,1.548490089041429,87.80438188195694,1971.0,1057,98,99,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,partial,6,616.1236163365726,1.550947717782438,93.24931799046266,2210.0,1093,62,5,6.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,partial,8,637.917402454357,1.5625160017588546,93.478560350382,2285.0,1151,4,13,8.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,partial,10,638.921124325,1.5613344158090934,93.478560350382,2303.0,1155,0,1,10.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,partial,12,639.2560377428196,1.5616286593715316,93.478560350382,2305.0,1155,0,0,12.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,skip,3,542.7571346094534,1.6036414050391545,76.57569363782687,1691.0,787,368,0,3.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,skip,4,560.9526359866011,1.5568415699208535,85.04990696183165,1912.0,998,157,0,4.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,skip,6,613.6388580807964,1.5490879836508167,93.64689856956846,2202.0,1090,65,0,6.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,skip,8,632.9534833335829,1.5606398648905635,93.478560350382,2263.0,1141,14,0,8.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,skip,10,638.7536676160904,1.5611872940278744,93.478560350382,2302.0,1154,1,0,10.0
PREVSTD__CHOP12_TIGHT_H1_FAST_BODY_OR_H4_RAW,Wprop,skip,12,639.2560377428196,1.5616286593715316,93.478560350382,2305.0,1155,0,0,12.0
